top - 00:41:16 up 1 day,  5:51,  1 user,  load average: 0.87, 1.93, 1.37
任务: 437 total,   2 running, 435 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.2 us,  9.5 sy,  0.0 ni, 53.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 128605.6 total,   1094.2 free,   7560.4 used, 119951.0 buff/cache
MiB Swap: 124999.0 total, 124420.2 free,    578.8 used. 108706.2 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   2197 wangjia   20   0  244508   2352   2208 S   0.0   0.0   0:00.02 xdg-per+
   2201 wangjia   20   0  581848   8752   7840 S   0.0   0.0   0:00.26 gnome-s+
   2208 wangjia   20   0 1013868  10692   9604 S   0.0   0.0   0:00.08 evoluti+
   2217 wangjia   20   0  856012  10192   9372 S   0.0   0.0   0:00.20 evoluti+
   2221 wangjia   20   0  156452   4148   3492 S   0.0   0.0   0:00.18 dconf-s+
   2230 wangjia   20   0  756376  11156  10644 S   0.0   0.0   0:00.16 evoluti+
   2243 wangjia   20   0 2939424  14988  12232 S   0.0   0.0   0:00.07 gjs
   2255 wangjia   20   0  336592   8028   5780 S   0.0   0.0   0:13.88 gvfsd-t+
   2267 wangjia   20   0  322852   5076   4840 S   0.0   0.0   0:00.07 gsd-a11+
   2268 wangjia   20   0  432208  14340  12932 S   0.0   0.0   0:00.68 gsd-col+
   2270 wangjia   20   0  383292   8040   7788 S   0.0   0.0   0:00.09 gsd-dat+
   2273 wangjia   20   0  323148   5552   5060 S   0.0   0.0   0:02.45 gsd-hou+
   2275 wangjia   20   0  357624  15084  12788 S   0.0   0.0   0:00.32 gsd-key+
   2277 wangjia   20   0  699872  15212  13532 S   0.0   0.0   0:00.44 gsd-med+
   2279 wangjia   20   0  358036  14544  12936 S   0.0   0.0   0:00.53 gsd-pow+
   2282 wangjia   20   0  257056   6708   6112 S   0.0   0.0   0:00.08 gsd-pri+
   2284 wangjia   20   0  465932   3716   3492 S   0.0   0.0   0:00.10 gsd-rfk+
   2285 wangjia   20   0  244340   3744   3564 S   0.0   0.0   0:00.08 gsd-scr+
